Hotel Name,2015-11-11 - 1,2015-11-11 - 2,2015-11-11 - 3,2015-11-11 - 4,2015-10-14 - 1,2015-10-14 - 2,2015-10-14 - 3,2015-10-14 - 4,2015-11-04 - 1,2015-11-04 - 2,2015-11-04 - 3,2015-11-04 - 4,2015-08-19 - 1,2015-08-19 - 2,2015-08-19 - 3,2015-08-19 - 4,2015-10-28 - 1,2015-10-28 - 2,2015-10-28 - 3,2015-10-28 - 4,2015-10-21 - 1,2015-10-21 - 2,2015-10-21 - 3,2015-10-21 - 4,2015-11-06 - 1,2015-11-06 - 2,2015-11-06 - 3,2015-11-06 - 4,2015-08-12 - 1,2015-08-12 - 2,2015-08-12 - 3,2015-08-12 - 4,2015-11-05 - 1,2015-11-05 - 2,2015-11-05 - 3,2015-11-05 - 4,2015-10-22 - 1,2015-10-22 - 2,2015-10-22 - 3,2015-10-22 - 4,2015-11-12 - 1,2015-11-12 - 2,2015-11-12 - 3,2015-11-12 - 4,2015-10-29 - 1,2015-10-29 - 2,2015-10-29 - 3,2015-10-29 - 4,2015-09-10 - 1,2015-09-10 - 2,2015-09-10 - 3,2015-09-10 - 4,2015-09-09 - 1,2015-09-09 - 2,2015-09-09 - 3,2015-09-09 - 4,2015-11-18 - 1,2015-11-18 - 2,2015-11-18 - 3,2015-11-18 - 4,2015-08-26 - 1,2015-08-26 - 2,2015-08-26 - 3,2015-08-26 - 4,2015-11-10 - 1,2015-11-10 - 2,2015-11-10 - 3,2015-11-10 - 4,2015-11-13 - 1,2015-11-13 - 2,2015-11-13 - 3,2015-11-13 - 4,2015-10-15 - 1,2015-10-15 - 2,2015-10-15 - 3,2015-10-15 - 4,2015-11-21 - 1,2015-11-21 - 2,2015-11-21 - 3,2015-11-21 - 4,2015-09-30 - 1,2015-09-30 - 2,2015-09-30 - 3,2015-09-30 - 4,2015-10-30 - 1,2015-10-30 - 2,2015-10-30 - 3,2015-10-30 - 4,2015-09-16 - 1,2015-09-16 - 2,2015-09-16 - 3,2015-09-16 - 4,2015-09-17 - 1,2015-09-17 - 2,2015-09-17 - 3,2015-09-17 - 4,2015-11-28 - 1,2015-11-28 - 2,2015-11-28 - 3,2015-11-28 - 4,2015-10-01 - 1,2015-10-01 - 2,2015-10-01 - 3,2015-10-01 - 4,2015-11-26 - 1,2015-11-26 - 2,2015-11-26 - 3,2015-11-26 - 4,2015-09-11 - 1,2015-09-11 - 2,2015-09-11 - 3,2015-09-11 - 4,2015-09-18 - 1,2015-09-18 - 2,2015-09-18 - 3,2015-09-18 - 4,2015-10-16 - 1,2015-10-16 - 2,2015-10-16 - 3,2015-10-16 - 4,2015-11-27 - 1,2015-11-27 - 2,2015-11-27 - 3,2015-11-27 - 4,2015-10-02 - 1,2015-10-02 - 2,2015-10-02 - 3,2015-10-02 - 4,2015-10-07 - 1,2015-10-07 - 2,2015-10-07 - 3,2015-10-07 - 4,2015-11-07 - 1,2015-11-07 - 2,2015-11-07 - 3,2015-11-07 - 4,2015-08-28 - 1,2015-08-28 - 2,2015-08-28 - 3,2015-08-28 - 4,2015-08-27 - 1,2015-08-27 - 2,2015-08-27 - 3,2015-08-27 - 4,2015-10-27 - 1,2015-10-27 - 2,2015-10-27 - 3,2015-10-27 - 4,2015-11-03 - 1,2015-11-03 - 2,2015-11-03 - 3,2015-11-03 - 4,2015-08-13 - 1,2015-08-13 - 2,2015-08-13 - 3,2015-08-13 - 4,2015-11-25 - 1,2015-11-25 - 2,2015-11-25 - 3,2015-11-25 - 4
Ramada Long Island City,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,11,16,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,63,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,11,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,100,-1,-1,72,78,-1,-1,72,69,78,-1,8,6,11,-1,72,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,42,47,-1,-1,27,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,11,-1,-1,-1,-1,-1
Red Carpet Inn New York City,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,0,15,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,15,-1,-1,-1,15,-1,-1,-1,15,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,15,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,15,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,15,-1,-1,58,75,-1,-1,0,15,-1,-1,0,15,-1,-1,0,15,-1,-1,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,57,71,-1,-1,23,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1
Renaissance Newark Airport Hotel,0,14,33,-1,35,60,-1,78,25,41,-1,-1,-1,-1,-1,86,25,45,-1,-1,-1,-1,-1,-1,80,-1,51,-1,-1,-1,-1,86,-1,57,-1,29,-1,62,-1,37,-1,60,12,2,-1,55,-1,25,-1,57,-1,21,19,35,53,-1,-1,10,31,-1,23,37,-1,82,-1,49,66,92,82,-1,41,-1,-1,55,100,33,-1,-1,-1,-1,23,39,-1,-1,76,53,43,-1,-1,35,51,-1,-1,-1,-1,27,-1,60,-1,-1,-1,62,-1,23,76,51,11,3,72,-1,33,-1,70,-1,37,-1,72,82,62,-1,72,-1,35,-1,82,-1,43,-1,51,-1,-1,-1,78,74,-1,-1,80,-1,39,-1,-1,64,-1,23,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Residence Inn New York The Bronx At Metro Center Atrium,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Residence Inn Newark Elizabeth Liberty International Airport,12,19,31,-1,54,-1,100,-1,14,12,24,-1,57,67,78,-1,26,31,46,-1,53,55,97,-1,-1,-1,-1,-1,67,74,83,-1,-1,-1,23,14,-1,-1,58,53,-1,-1,19,12,-1,-1,31,23,-1,-1,64,60,55,62,74,-1,4,17,33,-1,-1,-1,-1,-1,-1,19,26,37,-1,-1,-1,-1,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,80,83,-1,-1,-1,76,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,90,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,57,-1,37,44,59,60,23,15,27,-1,-1,57,67,0,0,0,11
Residence Inn by Marriott New York Manhattan Midtown East,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,84,86,-1,-1,-1,-1,-1,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,73,73,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,14,11,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,10,9,-1,-1,-1,-1
Roxy Hotel Tribeca (formerly the Tribeca Grand Hotel),19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,8,-1,-1,61,64,-1,-1,-1,-1,-1,-1,-1,-1,41,41,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,45,54,-1,-1,-1,-1,100,-1,-1,-1,-1,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,-1,34,-1,-1,-1,19,-1,-1,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
SIXTY Lower East Side,-1,26,-1,-1,-1,52,-1,-1,-1,40,-1,-1,-1,12,-1,-1,-1,42,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,29,-1,-1,57,60,-1,-1,18,20,-1,-1,39,42,-1,-1,51,54,-1,-1,-1,-1,-1,-1,23,16,23,23,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,44,47,-1,-1,1,2,-1,0,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,61,-1,-1,-1,-1,-1,-1,35,37,-1,-1,8,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1
San Carlos Hotel,-1,-1,-1,-1,6,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,2,2,100,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Shelburne NYC-an Affinia hotel,57,28,39,-1,-1,66,-1,-1,49,35,46,-1,22,-1,-1,-1,-1,-1,-1,74,-1,-1,-1,-1,-1,48,36,50,24,-1,-1,-1,48,-1,-1,47,-1,-1,-1,-1,28,-1,-1,-1,-1,90,77,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,26,-1,-1,-1,-1,-1,-1,53,41,52,-1,26,16,27,-1,-1,-1,-1,8,0,9,-1,-1,-1,-1,-1,-1,29,29,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,32,-1,-1,46,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,91,-1,-1,-1,-1,-1,59,48,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,41,52,15,21,-1,-1,47,38,-1,-1
Sheraton LaGuardia East Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,-1,-1,-1,-1,35,27,19,35,97,85,73,100,-1,0,-1,-1,-1,-1,-1,-1,-1,15,23,-1,78,66,73,-1,-1,-1,-1,-1,49,26,25,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,41,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,-1,-1,85,96,50,-1,-1,-1,-1,35,35,15,-1,-1,36,27,-1,41,33,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,27,20,12,-1,-1,24,72,-1,-1,-1,-1,-1,-1,-1,-1
Sheraton New York Times Square Hotel,20,23,-1,-1,-1,68,59,-1,-1,23,49,-1,14,18,-1,-1,-1,36,-1,-1,61,70,60,-1,11,-1,20,-1,-1,-1,-1,-1,-1,33,-1,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,59,-1,-1,50,-1,-1,87,80,87,-1,-1,-1,-1,-1,8,9,17,-1,-1,35,31,-1,49,32,30,23,-1,62,-1,-1,0,20,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,85,92,100,-1,-1,65,-1,-1,85,64,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,56,-1,-1,43,26,25,-1,-1,-1,-1,-1,-1,-1,63,-1,29,34,32,-1,-1,-1,100,-1,-1,-1,-1,-1,26,9,11,-1,-1,17,8,8,-1,-1,71,-1,-1,-1,41,-1,-1,-1,36,-1,-1,-1,-1,-1
Smyth A Thompson Hotel,-1,23,-1,-1,-1,-1,46,48,65,82,83,-1,13,16,18,27,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,-1,16,27,29,27,46,-1,-1,80,50,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,59,58,57,62,65,61,66,67,-1,-1,-1,-1,10,9,7,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,63,63,52,22,-1,-1,68,67,64,66,55,43,55,-1,-1,-1,-1,50,41,48,-1,-1,-1,-1,-1,-1,7,75,56,69,-1,44,-1,-1,43,-1,-1,-1,-1,-1,-1,33,-1,44,54,-1,-1,44,38,37,42,-1,100,-1,-1,15,5,-1,-1,1,0,8,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1
SpringHill Suites by Marriott Newark Liberty International,-1,-1,-1,-1,-1,-1,-1,-1,43,48,-1,-1,-1,-1,-1,-1,-1,-1,56,-1,66,20,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,53,58,-1,-1,-1,20,61,66,11,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,45,48,56,-1,46,46,37,35,-1,41,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,24,20,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,37,40,-1,-1,-1,-1,58,55,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,24,24,28,26,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Super 8 Brooklyn   Park Slope Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1
TRYP By Wyndham Times Square South,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,66,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,0,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,-1,-1,68,-1,-1,-1,-1,100,-1,-1,-1,26,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Benjamin,-1,38,39,-1,-1,-1,-1,-1,53,-1,63,-1,-1,-1,-1,-1,59,66,69,-1,-1,86,88,-1,43,50,52,-1,18,22,-1,-1,44,51,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,10,13,14,-1,42,45,45,41,33,39,-1,-1,-1,57,59,-1,0,4,-1,-1,-1,-1,-1,-1,43,50,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,56,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,39,36,-1,61,62,-1,-1,57,64,67,-1,8,-1,-1,-1,5,9,10,-1,-1,-1,-1,-1,-1,-1,100,-1,8,12,-1,-1,-1,-1,-1,-1
The Carlyle A Rosewood Hotel,8,13,18,23,-1,26,29,33,-1,-1,-1,-1,-1,-1,-1,-1,54,61,65,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,23,24,-1,-1,-1,-1,-1,29,33,33,29,-1,74,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,18,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,38,42,47,29,31,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,28,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,-1,39,54,-1,8,37,39,-1,0,33,33,39,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Chatwal a Luxury Collection Hotel New York City,-1,-1,-1,-1,34,53,71,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,62,81,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The High Line Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,97,100,-1,-1,-1,-1,-1,-1,80,-1,-1,89,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,86,91,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,47,49,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,14,20,-1
The Kitano New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,31,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,54,70,83,88,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,82,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Lexington New York City Autograph Collection,34,46,-1,-1,49,55,73,85,49,61,-1,-1,-1,-1,-1,-1,45,48,58,-1,66,78,-1,-1,-1,62,60,-1,-1,-1,-1,-1,38,38,34,36,74,69,50,54,-1,-1,-1,34,75,50,60,62,70,61,45,49,63,67,75,74,-1,-1,-1,-1,17,20,7,10,-1,60,-1,-1,-1,-1,46,-1,-1,46,39,40,-1,-1,-1,-1,100,-1,-1,96,66,58,70,-1,85,89,97,95,-1,-1,78,81,79,59,56,-1,-1,-1,62,63,-1,0,19,22,-1,69,64,-1,-1,85,55,-1,-1,54,51,-1,-1,35,23,35,-1,-1,-1,-1,82,-1,-1,99,-1,-1,-1,-1,-1,27,25,-1,-1,-1,13,12,-1,68,76,-1,-1,70,83,-1,-1,-1,-1,-1,4,7,30,-1
The Lombardy,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1
The Mark,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Muse Hotel a Kimpton Hotel,-1,-1,-1,-1,-1,-1,-1,-1,47,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,24,31,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,76,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,-1,-1,-1,0,-1,-1,-1,-1,17,16
The New York EDITION,-1,-1,31,-1,-1,39,44,-1,-1,-1,31,-1,-1,15,12,-1,-1,39,31,-1,-1,39,31,-1,-1,31,-1,-1,-1,15,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,59,-1,-1,50,67,100,-1,-1,11,-1,-1,15,12,-1,-1,-1,35,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,37,47,-1,-1,31,-1,-1,-1,28,38,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,28,-1,-1,49,39,-1,-1,50,39,-1,-1,21,-1,-1,-1,44,35,-1,-1,50,67,-1,-1,35,-1,-1,-1,12,15,-1,-1,13,13,-1,-1,-1,35,-1,-1,-1,35,-1,-1,13,13,-1,-1,-1,0,-1
